nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
       293 -1.573640084E-01 -8.357856620E-02  1.385271802E-01 -1.092954137E+02 
       294 -1.493586720E-01 -8.246139598E-02  1.387079996E-01 -9.564596122E+01 
       295 -1.391911928E-01 -3.608047958E-02  1.387411828E-01 -6.649198070E+01 
       296 -1.518653023E-01 -8.438741099E-02  1.387502424E-01 -1.009413417E+02 
       297 -1.421356310E-01 -3.290673123E-02  1.388389189E-01 -6.827739537E+01 
       298 -1.695188669E-01 -1.314911311E-02  1.390065223E-01 -1.066347811E+02 
       299 -1.939986929E-01 -2.351029891E-02  1.390344110E-01 -8.451070527E+01 
       300 -1.719694368E-01 -1.153569958E-02  1.390434783E-01 -1.081613238E+02 
       301 -1.248521648E-01 -6.365091398E-02  1.390706808E-01 -8.012915907E+01 
       302 -1.839718510E-01 -1.022369219E-02  1.390850139E-01 -9.894702151E+01 
       303 -1.263503399E-01 -5.210427545E-02  1.391636642E-01 -7.281039627E+01 
       304 -1.902710053E-01 -3.939939351E-02  1.392177998E-01 -8.107765783E+01 
       305 -1.562230965E-01 -8.774710610E-02  1.392728689E-01 -1.102425563E+02 
       306 -1.960498537E-01 -2.749533566E-02  1.392783938E-01 -8.477142852E+01 
       307 -1.569567541E-01 -8.678984228E-02  1.392963557E-01 -1.128396991E+02 
       308 -1.283018689E-01 -4.947984762E-02  1.393293621E-01 -7.122762705E+01 
       309 -1.405010366E-01 -7.567578077E-02  1.393655617E-01 -6.987609901E+01 
       310 -1.879431873E-01 -4.320160190E-02  1.393665531E-01 -8.276351666E+01 
       311 -1.235610954E-01 -5.718439551E-02  1.395385903E-01 -7.619421384E+01 
       312 -1.373092046E-01 -3.781339684E-02  1.395464097E-01 -6.657842005E+01 
       313 -1.325921162E-01 -6.960704303E-02  1.395588387E-01 -6.866590925E+01 
       314 -1.398148681E-01 -3.460713234E-02  1.396913355E-01 -6.808705266E+01 
       315 -1.878187249E-01 -1.276511546E-02  1.397003499E-01 -9.219511367E+01 
       316 -1.438833888E-01 -7.828211511E-02  1.397184470E-01 -7.898391074E+01 
       317 -1.897901845E-01 -1.505870008E-02  1.398662068E-01 -8.555244503E+01 
       318 -1.542848389E-01 -2.338251073E-02  1.398923702E-01 -7.666906292E+01 
       319 -1.768716617E-01 -8.686148391E-03  1.399006756E-01 -1.028189170E+02 
       320 -1.230520445E-01 -5.933686549E-02  1.399546210E-01 -7.732652276E+01 
       321 -1.955945877E-01 -3.442111442E-02  1.399625832E-01 -7.931735544E+01 
